2026-06-12 17:26:52,170 [INFO]  Script start.
2026-06-12 17:26:52,193 [INFO]  ====================GENERAL SETTINGS====================
2026-06-12 17:26:52,196 [INFO]  {'date': '2026-06-12', 'time': '17-26-52', 'experiment_type': 'g2_heralded_virtual', 'save_dir': 'C:\\Users\\QUANTUM\\OneDrive - ENSTA\\!Working files\\HBT\\HBT Data\\Tests_Jun\\2026-06-12_17-26-52_g2_heralded_virtual', 'material': 'CdTe110', 'laser': {'rep_rate_hz': 18880000.0, 'wavelength_nm': 2100}, 'timetagging': {'tt_mode': 'Standard', 'binwidth_ps': 100, 'num_bins': 50000, 'channels': [1, 2, 3, 4, 5, 6], 'mode_on_channel': ['H3T', 'H3R', 'H4T', 'H4R', 'H5T', 'H5R'], 'deadtime': [0, 0, 0, 0, 0, 0], 'delays': [0, -1000, 20000, 16500, 17800, 17300], 'coincidence_window': 25000, 'trigger': [], 'filter': []}, 'custom': {}}
2026-06-12 17:26:52,267 [INFO]  Found 0 connected Time Tagger(s)
2026-06-12 17:26:52,316 [INFO]  Time Tagger initialized.
2026-06-12 17:26:52,317 [INFO]  Stage Position: 292
2026-06-12 17:26:52,318 [INFO]  Starting chunked acquisition (max 100 chunks / 100.0 min)
2026-06-12 17:26:52,319 [INFO]  Chunk duration: 1 min
2026-06-12 17:26:52,320 [INFO]  Threshold: 100000 counts, checking every 1 chunks
2026-06-12 17:26:52,434 [INFO]  Found 0 connected Time Tagger(s)
2026-06-12 17:26:52,605 [INFO]  Time Tagger initialized.
2026-06-12 17:26:52,607 [INFO]  Chunk 1/100 | Elapsed: 1.0 min
2026-06-12 17:26:52,609 [INFO]  Initializing experiment on Time Tagger.
2026-06-12 17:26:52,610 [INFO]  Deadtime for channel 1: 0 ps
2026-06-12 17:26:52,611 [INFO]  Deadtime for channel 2: 0 ps
2026-06-12 17:26:52,612 [INFO]  Deadtime for channel 3: 0 ps
2026-06-12 17:26:52,613 [INFO]  Deadtime for channel 4: 0 ps
2026-06-12 17:26:52,614 [INFO]  Deadtime for channel 5: 0 ps
2026-06-12 17:26:52,615 [INFO]  Deadtime for channel 6: 0 ps
2026-06-12 17:26:52,616 [INFO]  Delays on channels enabled.
2026-06-12 17:26:52,617 [INFO]  Delay for channel 1: requested=0 ps, actual=0 ps
2026-06-12 17:26:52,620 [INFO]  Delay for channel 2: requested=-1000 ps, actual=-1000 ps
2026-06-12 17:26:52,620 [INFO]  Delay for channel 3: requested=20000 ps, actual=20000 ps
2026-06-12 17:26:52,623 [INFO]  Delay for channel 4: requested=16500 ps, actual=16500 ps
2026-06-12 17:26:52,624 [INFO]  Delay for channel 5: requested=17800 ps, actual=17800 ps
2026-06-12 17:26:52,625 [INFO]  Delay for channel 6: requested=17300 ps, actual=17300 ps
2026-06-12 17:26:52,626 [INFO]  Executing synchronized correlation measuerment.
2026-06-12 17:26:52,626 [INFO]  Delays on channels enabled.
2026-06-12 17:26:52,628 [INFO]  Delay for channel 1: requested=0 ps, actual=0 ps.
2026-06-12 17:26:52,634 [INFO]  Delay for channel 2: requested=-1000 ps, actual=-1000 ps.
2026-06-12 17:26:52,675 [INFO]  Delay for channel 3: requested=20000 ps, actual=20000 ps.
2026-06-12 17:26:52,825 [INFO]  Delay for channel 4: requested=16500 ps, actual=16500 ps.
2026-06-12 17:26:52,845 [INFO]  Delay for channel 5: requested=17800 ps, actual=17800 ps.
2026-06-12 17:26:52,879 [INFO]  Delay for channel 6: requested=17300 ps, actual=17300 ps.
