2026-06-12 17:16:00,895 [INFO]  Script start.
2026-06-12 17:16:00,904 [INFO]  ====================GENERAL SETTINGS====================
2026-06-12 17:16:00,904 [INFO]  {'date': '2026-06-12', 'time': '17-16-00', 'experiment_type': 'g2_heralded_virtual', 'save_dir': 'C:\\Users\\QUANTUM\\OneDrive - ENSTA\\!Working files\\HBT\\HBT Data\\Tests_Jun\\2026-06-12_17-16-00_g2_heralded_virtual', 'material': 'CdTe110', 'laser': {'rep_rate_hz': 18880000.0, 'wavelength_nm': 2100}, 'timetagging': {'tt_mode': 'Standard', 'binwidth_ps': 100, 'num_bins': 50000, 'channels': [1, 2, 3, 4, 5, 6], 'mode_on_channel': ['H3T', 'H3R', 'H4T', 'H4R', 'H5T', 'H5R'], 'deadtime': [0, 0, 0, 0, 0, 0], 'delays': [0, -1000, 20000, 16500, 17800, 17300], 'coincidence_window': 25000, 'trigger': [], 'filter': []}, 'custom': {}}
2026-06-12 17:16:00,948 [INFO]  Found 1 connected Time Tagger(s)
2026-06-12 17:16:03,799 [INFO]  Time Tagger initialized.
2026-06-12 17:16:03,799 [INFO]  Stage Position: 292
2026-06-12 17:16:03,800 [INFO]  Starting chunked acquisition (max 100 chunks / 100.0 min)
2026-06-12 17:16:03,801 [INFO]  Chunk duration: 1 min
2026-06-12 17:16:03,802 [INFO]  Threshold: 100000 counts, checking every 1 chunks
2026-06-12 17:16:03,848 [INFO]  Found 0 connected Time Tagger(s)
2026-06-12 17:16:04,142 [INFO]  Time Tagger initialized.
2026-06-12 17:16:04,143 [INFO]  Chunk 1/100 | Elapsed: 1.0 min
2026-06-12 17:16:04,144 [INFO]  Initializing experiment on Time Tagger.
2026-06-12 17:16:04,145 [INFO]  Deadtime for channel 1: 0 ps
2026-06-12 17:16:04,146 [INFO]  Deadtime for channel 2: 0 ps
2026-06-12 17:16:04,147 [INFO]  Deadtime for channel 3: 0 ps
2026-06-12 17:16:04,148 [INFO]  Deadtime for channel 4: 0 ps
2026-06-12 17:16:04,149 [INFO]  Deadtime for channel 5: 0 ps
2026-06-12 17:16:04,150 [INFO]  Deadtime for channel 6: 0 ps
2026-06-12 17:16:04,150 [INFO]  Delays on channels enabled.
2026-06-12 17:16:04,151 [INFO]  Delay for channel 1: requested=0 ps, actual=0 ps
2026-06-12 17:16:04,153 [INFO]  Delay for channel 2: requested=-1000 ps, actual=-1000 ps
2026-06-12 17:16:04,160 [INFO]  Delay for channel 3: requested=20000 ps, actual=20000 ps
2026-06-12 17:16:04,161 [INFO]  Delay for channel 4: requested=16500 ps, actual=16500 ps
2026-06-12 17:16:04,162 [INFO]  Delay for channel 5: requested=17800 ps, actual=17800 ps
2026-06-12 17:16:04,162 [INFO]  Delay for channel 6: requested=17300 ps, actual=17300 ps
2026-06-12 17:16:04,163 [INFO]  Executing synchronized correlation measuerment.
2026-06-12 17:16:04,164 [INFO]  Delays on channels enabled.
2026-06-12 17:16:04,165 [INFO]  Delay for channel 1: requested=0 ps, actual=0 ps.
2026-06-12 17:16:04,166 [INFO]  Delay for channel 2: requested=-1000 ps, actual=-1000 ps.
